city,aqi,pm25,pm10,no2,co,o3,temperature,humidity,pressure,wind_speed,timestamp
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:11:05.574578
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:11:14.629859
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:11:20.381596
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:18:27.109774
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:18:30.969739
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:18:34.274822
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:18:37.092947
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:18:39.921401
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:19:05.775107
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:19:12.218022
Karachi,161,161,,,,,31,3,1016,5.1,2026-05-09 11:19:15.515300
